,aspiration-std,aspiration-turbo,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,drive-wheels,engine-location,engine-size,engine-type,fuel-system,fuel-type-diesel,fuel-type-gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,price,stroke,symboling,wheel-base,width,aspiration-std,aspiration-turbo
26,,,sedan,3.03,9.791666667,24,7.6,2191,fwd,front,98,ohc,mpfi,0,1,0.846153846,7.833333333,102,Low,0.755886593,dodge,148,four,four,5500,8558,3.39,1,93.7,0.886111111,0,1
27,,,wagon,3.34,9.791666667,24,8.5,2535,fwd,front,122,ohc,2bbl,0,1,1,7.833333333,88,Low,0.839019702,dodge,110,four,four,5000,8921,3.46,-1,103.3,0.897222222,1,0
28,,,hatchback,3.6,12.36842105,19,7,2811,fwd,front,156,ohc,mfi,0,1,0.839464883,9.791666667,145,Medium,0.832292167,dodge,145,four,two,5000,12964,3.9,3,95.9,0.920833333,0,1
29,,,hatchback,2.91,4.795918367,49,9.6,1713,fwd,front,92,ohc,1bbl,0,1,0.849498328,4.351851852,58,Low,0.694858241,honda,137,four,two,4800,6479,3.41,2,86.6,0.8875,1,0
30,,,hatchback,2.91,7.580645161,31,9.2,1819,fwd,front,92,ohc,1bbl,0,1,0.849498328,6.184210526,76,Low,0.694858241,honda,137,four,two,6000,6855,3.41,2,86.6,0.8875,1,0
31,,,hatchback,2.91,6.184210526,38,10.1,1837,fwd,front,79,ohc,1bbl,0,1,0.879598662,5.595238095,60,Low,0.720807304,honda,101,four,two,5500,5399,3.07,1,93.7,0.888888889,1,0
32,,,hatchback,2.91,7.833333333,30,9.2,1940,fwd,front,92,ohc,1bbl,0,1,0.879598662,6.911764706,76,Low,0.720807304,honda,101,four,two,6000,6529,3.41,1,93.7,0.888888889,1,0
33,,,hatchback,2.91,7.833333333,30,9.2,1956,fwd,front,92,ohc,1bbl,0,1,0.879598662,6.911764706,76,Low,0.720807304,honda,101,four,two,6000,7129,3.41,1,93.7,0.888888889,1,0
34,,,sedan,2.91,7.833333333,30,9.2,2010,fwd,front,92,ohc,1bbl,0,1,0.911371237,6.911764706,76,Low,0.785199423,honda,110,four,four,6000,7295,3.41,0,96.5,0.888888889,1,0
35,,,wagon,2.92,7.833333333,30,9.2,2024,fwd,front,92,ohc,1bbl,0,1,0.974916388,6.911764706,76,Low,0.754925517,honda,78,four,four,6000,7295,3.41,0,96.5,0.8875,1,0
36,,,hatchback,3.15,8.703703704,27,9,2236,fwd,front,110,ohc,1bbl,0,1,0.891304348,7.121212121,86,Low,0.80490149,honda,106,four,two,5800,7895,3.58,0,96.5,0.905555556,1,0
37,,,hatchback,3.15,8.703703704,27,9,2289,fwd,front,110,ohc,1bbl,0,1,0.891304348,7.121212121,86,Low,0.80490149,honda,106,four,two,5800,9095,3.58,0,96.5,0.905555556,1,0
38,,,sedan,3.15,8.703703704,27,9,2304,fwd,front,110,ohc,1bbl,0,1,0.904682274,7.121212121,86,Low,0.842864008,honda,85,four,four,5800,8845,3.58,0,96.5,0.905555556,1,0
39,,,sedan,3.15,8.703703704,27,9,2372,fwd,front,110,ohc,1bbl,0,1,0.904682274,7.121212121,86,Low,0.842864008,honda,85,four,four,5800,10295,3.58,0,96.5,0.868055556,1,0
40,,,sedan,3.15,9.791666667,24,9,2465,fwd,front,110,ohc,mpfi,0,1,0.904682274,8.392857143,101,Low,0.842864008,honda,85,four,four,5800,12945,3.58,0,96.5,0.905555556,1,0
41,,,sedan,3.15,9.4,25,9.1,2293,fwd,front,110,ohc,2bbl,0,1,0.852842809,7.580645161,100,Low,0.812590101,honda,107,four,two,5500,10345,3.58,1,96.5,0.916666667,1,0
42,,,sedan,3.31,9.791666667,24,8.5,2337,rwd,front,111,ohc,2bbl,0,1,0.894648829,8.103448276,78,Low,0.820278712,isuzu,122,four,four,4800,6785,3.23,0,94.3,0.858333333,1,0
43,,,hatchback,3.43,9.791666667,24,9.2,2734,rwd,front,119,ohc,spfi,0,1,0.859531773,8.103448276,90,Low,0.829408938,isuzu,122,four,two,5000,11048,3.23,2,96,0.905555556,1,0
44,,,sedan,3.63,15.66666667,15,8.1,4066,rwd,front,258,dohc,mpfi,0,1,0.882943144,12.36842105,176,Medium,0.959154253,jaguar,145,six,four,4750,32250,4.17,0,113,0.966666667,1,0
45,,,sedan,3.63,15.66666667,15,8.1,4066,rwd,front,258,dohc,mpfi,0,1,0.882943144,12.36842105,176,Medium,0.959154253,jaguar,122,six,four,4750,35550,4.17,0,113,0.966666667,1,0
46,,,sedan,3.54,18.07692308,13,11.5,3950,rwd,front,326,ohcv,mpfi,0,1,0.799331104,13.82352941,262,High,0.921191735,jaguar,122,twelve,two,5000,36000,2.76,0,102,0.980555556,1,0
47,,,hatchback,3.03,7.833333333,30,9,1890,fwd,front,91,ohc,2bbl,0,1,0.904682274,7.580645161,68,Low,0.764536281,mazda,104,four,two,5000,5195,3.15,1,93.1,0.891666667,1,0
48,,,hatchback,3.03,7.580645161,31,9,1900,fwd,front,91,ohc,2bbl,0,1,0.904682274,6.184210526,68,Low,0.764536281,mazda,104,four,two,5000,6095,3.15,1,93.1,0.891666667,1,0
49,,,hatchback,3.03,7.580645161,31,9,1905,fwd,front,91,ohc,2bbl,0,1,0.904682274,6.184210526,68,Low,0.764536281,mazda,104,four,two,5000,6795,3.15,1,93.1,0.891666667,1,0
50,,,sedan,3.03,7.580645161,31,9,1945,fwd,front,91,ohc,2bbl,0,1,0.904682274,6.184210526,68,Low,0.801537722,mazda,113,four,four,5000,6695,3.15,1,93.1,0.891666667,1,0
51,,,sedan,3.08,7.580645161,31,9,1950,fwd,front,91,ohc,2bbl,0,1,0.904682274,6.184210526,68,Low,0.801537722,mazda,113,four,four,5000,7395,3.15,1,93.1,0.891666667,1,0
52,,,hatchback,3.329751244,13.82352941,17,9.4,2380,rwd,front,70,rotor,4bbl,0,1,0.829431438,10.2173913,101,Low,0.812109563,mazda,150,two,two,6000,10945,3.255422886,3,95.3,0.9125,1,0
53,,,hatchback,3.329751244,13.82352941,17,9.4,2380,rwd,front,70,rotor,4bbl,0,1,0.829431438,10.2173913,101,Low,0.812109563,mazda,150,two,two,6000,11845,3.255422886,3,95.3,0.9125,1,0
54,,,hatchback,3.329751244,13.82352941,17,9.4,2385,rwd,front,70,rotor,4bbl,0,1,0.829431438,10.2173913,101,Low,0.812109563,mazda,150,two,two,6000,13645,3.255422886,3,95.3,0.9125,1,0
55,,,hatchback,3.329751244,14.6875,16,9.4,2500,rwd,front,80,rotor,mpfi,0,1,0.829431438,10.2173913,135,Medium,0.812109563,mazda,150,two,two,6000,15645,3.255422886,3,95.3,0.9125,1,0
56,,,hatchback,3.39,9.038461538,26,8.6,2385,fwd,front,122,ohc,2bbl,0,1,0.897993311,7.34375,84,Low,0.854396925,mazda,129,four,two,4800,8845,3.39,1,98.8,0.923611111,1,0
57,,,sedan,3.39,9.038461538,26,8.6,2410,fwd,front,122,ohc,2bbl,0,1,0.928093645,7.34375,84,Low,0.854396925,mazda,115,four,four,4800,8495,3.39,0,98.8,0.923611111,1,0
58,,,hatchback,3.39,9.038461538,26,8.6,2385,fwd,front,122,ohc,2bbl,0,1,0.897993311,7.34375,84,Low,0.854396925,mazda,129,four,two,4800,10595,3.39,1,98.8,0.923611111,1,0
59,,,sedan,3.39,9.038461538,26,8.6,2410,fwd,front,122,ohc,2bbl,0,1,0.928093645,7.34375,84,Low,0.854396925,mazda,115,four,four,4800,10245,3.39,0,98.8,0.923611111,1,0
60,,,sedan,3.39,6.527777778,36,22.7,2443,fwd,front,122,ohc,idi,1,0,0.928093645,5.595238095,64,Low,0.854396925,mazda,122,four,four,4650,10795,3.39,0,98.8,0.923611111,1,0
61,,,hatchback,3.39,9.038461538,26,8.6,2425,fwd,front,122,ohc,2bbl,0,1,0.928093645,7.34375,84,Low,0.854396925,mazda,115,four,four,4800,11245,3.39,0,98.8,0.923611111,1,0
62,,,sedan,3.76,12.36842105,19,8,2670,rwd,front,140,ohc,mpfi,0,1,0.909698997,8.703703704,120,Medium,0.840941855,mazda,118,four,four,5000,18280,3.16,0,104.9,0.918055556,1,0
63,,,sedan,3.43,7.580645161,31,22,2700,rwd,front,134,ohc,idi,1,0,0.909698997,6.025641026,72,Low,0.840941855,mazda,122,four,four,4200,18344,3.64,0,104.9,0.918055556,1,0
64,,,sedan,3.58,10.68181818,22,21.5,3515,rwd,front,183,ohc,idi,1,0,0.944816054,9.4,123,Medium,0.917347429,mercedes-benz,93,five,four,4350,25552,3.64,-1,110,0.976388889,0,1
65,,,wagon,3.58,10.68181818,22,21.5,3750,rwd,front,183,ohc,idi,1,0,0.981605351,9.4,123,Medium,0.917347429,mercedes-benz,93,five,four,4350,28248,3.64,-1,110,0.976388889,0,1
66,,,hardtop,3.58,10.68181818,22,21.5,3495,rwd,front,183,ohc,idi,1,0,0.918060201,9.4,123,Medium,0.90100913,mercedes-benz,93,five,two,4350,28176,3.64,0,106.7,0.976388889,0,1
67,,,sedan,3.58,10.68181818,22,21.5,3770,rwd,front,183,ohc,idi,1,0,0.941471572,9.4,123,Medium,0.973570399,mercedes-benz,93,five,four,4350,31600,3.64,-1,115.6,0.995833333,0,1
68,,,sedan,3.46,14.6875,16,8.3,3740,rwd,front,234,ohcv,mpfi,0,1,0.944816054,13.05555556,155,Medium,0.973570399,mercedes-benz,122,eight,four,4750,34184,3.1,-1,115.6,0.995833333,1,0
69,,,convertible,3.46,14.6875,16,8.3,3685,rwd,front,234,ohcv,mpfi,0,1,0.849498328,13.05555556,155,Medium,0.86641038,mercedes-benz,142,eight,two,4750,35056,3.1,3,96.6,0.979166667,1,0
70,,,sedan,3.8,16.78571429,14,8,3900,rwd,front,308,ohcv,mpfi,0,1,0.948160535,14.6875,184,Medium,1,mercedes-benz,122,eight,four,4500,40960,3.35,0,120.9,0.995833333,1,0
71,,,hardtop,3.8,16.78571429,14,8,3715,rwd,front,304,ohcv,mpfi,0,1,0.926421405,14.6875,184,Medium,0.9572321,mercedes-benz,122,eight,two,4500,45400,3.35,1,112,1,1,0
72,,,hatchback,3.78,12.36842105,19,8,2910,rwd,front,140,ohc,mpfi,0,1,0.91638796,9.791666667,175,Medium,0.857280154,mercury,122,four,two,5000,16503,3.12,1,102.7,0.944444444,0,1
73,,,hatchback,2.97,6.351351351,37,9.4,1918,fwd,front,92,ohc,2bbl,0,1,0.849498328,5.731707317,68,Low,0.755886593,mitsubishi,161,four,two,5500,5389,3.23,2,93.7,0.894444444,1,0
74,,,hatchback,2.97,7.580645161,31,9.4,1944,fwd,front,92,ohc,2bbl,0,1,0.849498328,6.184210526,68,Low,0.755886593,mitsubishi,161,four,two,5500,6189,3.23,2,93.7,0.894444444,1,0
75,,,hatchback,2.97,7.580645161,31,9.4,2004,fwd,front,92,ohc,2bbl,0,1,0.849498328,6.184210526,68,Low,0.755886593,mitsubishi,161,four,two,5500,6669,3.23,2,93.7,0.894444444,1,0
76,,,hatchback,3.03,9.791666667,24,7.6,2145,fwd,front,98,ohc,spdi,0,1,0.849498328,7.833333333,102,Low,0.755886593,mitsubishi,161,four,two,5500,7689,3.39,1,93,0.886111111,0,1
77,,,hatchback,3.17,10.2173913,23,7.5,2370,fwd,front,110,ohc,spdi,0,1,0.826086957,7.833333333,116,Low,0.831331091,mitsubishi,153,four,two,5500,9959,3.46,3,96.3,0.908333333,0,1
78,,,hatchback,3.35,9.4,25,8.5,2328,fwd,front,122,ohc,2bbl,0,1,0.826086957,7.34375,88,Low,0.831331091,mitsubishi,153,four,two,5000,8499,3.46,3,96.3,0.908333333,1,0
79,,,hatchback,3.58,12.36842105,19,7,2833,fwd,front,156,ohc,spdi,0,1,0.839464883,9.791666667,145,Medium,0.832292167,mitsubishi,122,four,two,5000,12629,3.86,3,95.9,0.920833333,0,1
80,,,hatchback,3.59,12.36842105,19,7,2921,fwd,front,156,ohc,spdi,0,1,0.839464883,9.791666667,145,Medium,0.832292167,mitsubishi,122,four,two,5000,14869,3.86,3,95.9,0.920833333,0,1
81,,,hatchback,3.59,12.36842105,19,7,2926,fwd,front,156,ohc,spdi,0,1,0.839464883,9.791666667,145,Medium,0.832292167,mitsubishi,122,four,two,5000,14489,3.86,3,95.9,0.920833333,0,1
82,,,sedan,3.35,9.4,25,8.5,2365,fwd,front,122,ohc,2bbl,0,1,0.862876254,7.34375,88,Low,0.828447862,mitsubishi,125,four,four,5000,6989,3.46,1,96.3,0.908333333,1,0
83,,,sedan,3.35,9.4,25,8.5,2405,fwd,front,122,ohc,2bbl,0,1,0.862876254,7.34375,88,Low,0.828447862,mitsubishi,125,four,four,5000,8189,3.46,1,96.3,0.908333333,1,0
84,,,sedan,3.17,10.2173913,23,7.5,2403,fwd,front,110,ohc,spdi,0,1,0.862876254,7.833333333,116,Low,0.828447862,mitsubishi,125,four,four,5500,9279,3.46,1,96.3,0.908333333,0,1
85,,,sedan,3.17,10.2173913,23,7.5,2403,fwd,front,110,ohc,spdi,0,1,0.862876254,7.833333333,116,Low,0.828447862,mitsubishi,137,four,four,5500,9279,3.46,-1,96.3,0.908333333,1,0
86,,,sedan,3.15,7.580645161,31,9.4,1889,fwd,front,97,ohc,2bbl,0,1,0.911371237,6.351351351,69,Low,0.794329649,nissan,128,four,two,5200,5499,3.29,1,94.5,0.886111111,1,0
87,,,sedan,2.99,5.222222222,45,21.9,2017,fwd,front,103,ohc,idi,1,0,0.911371237,4.7,55,Low,0.794329649,nissan,128,four,two,4800,7099,3.47,1,94.5,0.886111111,1,0
88,,,sedan,3.15,7.580645161,31,9.4,1918,fwd,front,97,ohc,2bbl,0,1,0.911371237,6.351351351,69,Low,0.794329649,nissan,128,four,two,5200,6649,3.29,1,94.5,0.886111111,1,0
89,,,sedan,3.15,7.580645161,31,9.4,1938,fwd,front,97,ohc,2bbl,0,1,0.911371237,6.351351351,69,Low,0.794329649,nissan,122,four,four,5200,6849,3.29,1,94.5,0.886111111,1,0
90,,,wagon,3.15,7.580645161,31,9.4,2024,fwd,front,97,ohc,2bbl,0,1,0.894648829,6.351351351,69,Low,0.817876021,nissan,103,four,four,5200,7349,3.29,1,94.5,0.886111111,1,0
91,,,sedan,3.15,7.580645161,31,9.4,1951,fwd,front,97,ohc,2bbl,0,1,0.911371237,6.351351351,69,Low,0.794329649,nissan,128,four,two,5200,7299,3.29,1,94.5,0.886111111,1,0
92,,,hatchback,3.15,7.580645161,31,9.4,2028,fwd,front,97,ohc,2bbl,0,1,0.891304348,6.351351351,69,Low,0.795771264,nissan,128,four,two,5200,7799,3.29,1,94.5,0.886111111,1,0
93,,,sedan,3.15,7.580645161,31,9.4,1971,fwd,front,97,ohc,2bbl,0,1,0.911371237,6.351351351,69,Low,0.794329649,nissan,122,four,four,5200,7499,3.29,1,94.5,0.886111111,1,0
94,,,wagon,3.15,7.580645161,31,9.4,2037,fwd,front,97,ohc,2bbl,0,1,0.894648829,6.351351351,69,Low,0.817876021,nissan,103,four,four,5200,7999,3.29,1,94.5,0.886111111,1,0
95,,,hardtop,3.15,7.580645161,31,9.4,2008,fwd,front,97,ohc,2bbl,0,1,0.891304348,6.351351351,69,Low,0.780394041,nissan,168,four,two,5200,8249,3.29,2,95.1,0.886111111,1,0
96,,,hatchback,3.33,8.703703704,27,8.5,2324,fwd,front,120,ohc,2bbl,0,1,0.914715719,6.911764706,97,Low,0.833253244,nissan,106,four,four,5200,8949,3.47,0,97.2,0.905555556,1,0
97,,,sedan,3.33,8.703703704,27,8.5,2302,fwd,front,120,ohc,2bbl,0,1,0.914715719,6.911764706,97,Low,0.833253244,nissan,106,four,four,5200,9549,3.47,0,97.2,0.905555556,1,0
98,,,sedan,3.43,13.82352941,17,9,3095,fwd,front,181,ohcv,mpfi,0,1,0.921404682,10.68181818,152,Medium,0.873137914,nissan,128,six,four,5200,13499,3.27,0,100.4,0.923611111,1,0
99,,,wagon,3.43,13.82352941,17,9,3296,fwd,front,181,ohcv,mpfi,0,1,0.93812709,10.68181818,152,Medium,0.887073522,nissan,108,six,four,5200,14399,3.27,0,100.4,0.923611111,1,0
100,,,sedan,3.43,12.36842105,19,9,3060,fwd,front,181,ohcv,mpfi,0,1,0.921404682,9.4,152,Medium,0.887073522,nissan,108,six,four,5200,13499,3.27,0,100.4,0.923611111,1,0
101,,,hatchback,3.43,12.36842105,19,9,3071,rwd,front,181,ohcv,mpfi,0,1,0.831103679,9.4,160,Medium,0.820278712,nissan,194,six,two,5200,17199,3.27,3,91.3,0.943055556,1,0
102,,,hatchback,3.43,13.82352941,17,7.8,3139,rwd,front,181,ohcv,mpfi,0,1,0.831103679,10.2173913,200,High,0.820278712,nissan,194,six,two,5200,19699,3.27,3,91.3,0.943055556,0,1
103,,,hatchback,3.43,12.36842105,19,9,3139,rwd,front,181,ohcv,mpfi,0,1,0.831103679,9.4,160,Medium,0.857760692,nissan,231,six,two,5200,18399,3.27,1,99.2,0.943055556,1,0
104,,,sedan,3.46,12.36842105,19,8.4,3020,rwd,front,120,l,mpfi,0,1,0.948160535,9.791666667,97,Low,0.897164825,peugot,161,four,four,5000,11900,3.19,0,107.9,0.95,1,0
105,,,sedan,3.7,8.392857143,28,21,3197,rwd,front,152,l,idi,1,0,0.948160535,7.121212121,95,Low,0.897164825,peugot,161,four,four,4150,13200,3.52,0,107.9,0.95,0,1
106,,,wagon,3.46,12.36842105,19,8.4,3230,rwd,front,120,l,mpfi,0,1,0.981605351,9.791666667,97,Low,0.955790485,peugot,122,four,four,5000,12440,3.19,0,114.2,0.95,1,0
107,,,wagon,3.7,9.4,25,21,3430,rwd,front,152,l,idi,1,0,0.981605351,9.4,95,Low,0.955790485,peugot,122,four,four,4150,13860,3.52,0,114.2,0.95,0,1
108,,,sedan,3.46,12.36842105,19,8.4,3075,rwd,front,120,l,mpfi,0,1,0.948160535,9.791666667,95,Low,0.897164825,peugot,161,four,four,5000,15580,2.19,0,107.9,0.95,1,0
109,,,sedan,3.7,8.392857143,28,21,3252,rwd,front,152,l,idi,1,0,0.948160535,7.121212121,95,Low,0.897164825,peugot,161,four,four,4150,16900,3.52,0,107.9,0.95,0,1
110,,,wagon,3.46,12.36842105,19,8.4,3285,rwd,front,120,l,mpfi,0,1,0.948160535,9.791666667,95,Low,0.955790485,peugot,122,four,four,5000,16695,2.19,0,114.2,0.95,1,0
111,,,wagon,3.7,9.4,25,21,3485,rwd,front,152,l,idi,1,0,0.981605351,9.4,95,Low,0.955790485,peugot,122,four,four,4150,17075,3.52,0,114.2,0.95,0,1
112,,,sedan,3.46,12.36842105,19,8.4,3075,rwd,front,120,l,mpfi,0,1,0.948160535,9.791666667,97,Low,0.897164825,peugot,161,four,four,5000,16630,3.19,0,107.9,0.95,1,0
113,,,sedan,3.7,8.392857143,28,21,3252,rwd,front,152,l,idi,1,0,0.948160535,7.121212121,95,Low,0.897164825,peugot,161,four,four,4150,17950,3.52,0,107.9,0.95,0,1
114,,,sedan,3.61,13.05555556,18,7,3130,rwd,front,134,l,mpfi,0,1,0.936454849,9.791666667,142,Medium,0.897164825,peugot,161,four,four,5600,18150,3.21,0,108,0.948611111,0,1
115,,,hatchback,2.97,6.351351351,37,9.4,1918,fwd,front,90,ohc,2bbl,0,1,0.849498328,5.731707317,68,Low,0.755886593,plymouth,119,four,two,5500,5572,3.23,1,93.7,0.886111111,1,0
116,,,hatchback,3.03,9.791666667,24,7.6,2128,fwd,front,98,ohc,spdi,0,1,0.849498328,7.833333333,102,Low,0.755886593,plymouth,119,four,two,5500,7957,3.39,1,93.7,0.886111111,0,1
117,,,hatchback,2.97,7.580645161,31,9.4,1967,fwd,front,90,ohc,2bbl,0,1,0.846153846,6.184210526,68,Low,0.755886593,plymouth,154,four,four,5500,6229,3.23,1,93.7,0.886111111,1,0
118,,,sedan,2.97,7.580645161,31,9.4,1989,fwd,front,90,ohc,2bbl,0,1,0.849498328,6.184210526,68,Low,0.803940413,plymouth,154,four,four,5500,6692,3.23,1,93.7,0.886111111,1,0
119,,,sedan,2.97,7.580645161,31,9.4,2191,fwd,front,98,ohc,2bbl,0,1,0.849498328,6.184210526,68,Low,0.803940413,plymouth,154,four,four,5500,7609,3.23,1,93.7,0.886111111,1,0
120,,,wagon,3.35,9.791666667,24,8.5,2535,fwd,front,122,ohc,2bbl,0,1,1,7.833333333,88,Low,0.839019702,plymouth,74,four,four,5000,8921,3.46,-1,103.3,0.897222222,1,0
121,,,hatchback,3.59,12.36842105,19,7,2818,rwd,front,156,ohc,spdi,0,1,0.839464883,9.791666667,145,Medium,0.832292167,plymouth,122,four,two,5000,12764,3.86,3,95.9,0.920833333,0,1
122,,,hatchback,3.94,12.36842105,19,9.5,2778,rwd,front,151,ohc,mpfi,0,1,0.839464883,8.703703704,143,Medium,0.811629025,porsche,186,four,two,5500,22018,3.11,3,94.5,0.948611111,1,0
123,,,hardtop,3.74,13.82352941,17,9.5,2756,rwd,rear,194,ohcf,mpfi,0,1,0.862876254,9.4,207,High,0.811629025,porsche,122,six,two,5900,32528,2.9,3,89.5,0.902777778,1,0
124,,,hardtop,3.74,13.82352941,17,9.5,2756,rwd,rear,194,ohcf,mpfi,0,1,0.862876254,9.4,207,High,0.811629025,porsche,122,six,two,5900,34028,2.9,3,89.5,0.902777778,1,0
125,,,convertible,3.74,13.82352941,17,9.5,2800,rwd,rear,194,ohcf,mpfi,0,1,0.862876254,9.4,207,High,0.811629025,porsche,122,six,two,5900,37028,2.9,3,89.5,0.902777778,1,0
126,,,wagon,3.46,10.2173913,23,8.7,2579,fwd,front,132,ohc,mpfi,0,1,0.923076923,7.580645161,104,Low,0.872176838,renault,122,four,four,5125.369458,9295,3.9,0,96.1,0.923611111,1,0
127,,,hatchback,3.46,10.2173913,23,8.7,2460,fwd,front,132,ohc,mpfi,0,1,0.844481605,7.580645161,104,Low,0.849591543,renault,122,four,two,5125.369458,9895,3.9,2,96.1,0.925,1,0
